n,time
10,0.000147104263306
10,0.000136852264404
10,0.000139951705933
10,0.000134944915771
10,0.000168085098267
10,0.000140190124512
10,0.000138998031616
10,0.000143051147461
10,0.0001380443573
10,0.000139951705933
11,0.000171899795532
11,0.000188827514648
11,0.000173091888428
11,0.000174999237061
11,0.000182867050171
11,0.000174999237061
11,0.000171899795532
11,0.000174045562744
11,0.000178098678589
11,0.000170946121216
12,0.000214815139771
12,0.000220775604248
12,0.00021505355835
12,0.000208139419556
12,0.000212907791138
12,0.000210046768188
12,0.000211954116821
12,0.000214099884033
12,0.000212907791138
12,0.000225067138672
13,0.000256061553955
13,0.000257015228271
13,0.000283002853394
13,0.000259160995483
13,0.000266790390015
13,0.000257968902588
13,0.000257968902588
13,0.00026798248291
13,0.000263929367065
13,0.000271081924438
14,0.000314950942993
14,0.000309944152832
14,0.000308036804199
14,0.00030517578125
14,0.000318050384521
14,0.000314950942993
14,0.000317096710205
14,0.000307083129883
14,0.000320911407471
14,0.000308990478516
15,0.000394105911255
15,0.000364065170288
15,0.000370979309082
15,0.000372886657715
15,0.000377893447876
15,0.000366926193237
15,0.000373125076294
15,0.000368118286133
15,0.000401973724365
15,0.000370025634766
16,0.000441074371338
16,0.000427007675171
16,0.000442028045654
16,0.000439882278442
16,0.000436067581177
16,0.000491142272949
16,0.000428915023804
16,0.000433921813965
16,0.000447988510132
16,0.000432968139648
17,0.000516176223755
17,0.000524997711182
17,0.000501871109009
17,0.000509023666382
17,0.000518798828125
17,0.000509977340698
17,0.000522136688232
17,0.000521183013916
17,0.000500917434692
17,0.000516891479492
18,0.000590801239014
18,0.000570774078369
18,0.000578880310059
18,0.000604867935181
18,0.000591039657593
18,0.000586986541748
18,0.000582933425903
18,0.000586986541748
18,0.000598907470703
18,0.000581979751587
19,0.000662088394165
19,0.000669002532959
19,0.000675916671753
19,0.000684022903442
19,0.000670909881592
19,0.000662088394165
19,0.000669002532959
19,0.000670909881592
19,0.000678062438965
19,0.000675916671753
20,0.000775098800659
20,0.000778198242188
20,0.000779151916504
20,0.000772953033447
20,0.000752925872803
20,0.000761032104492
20,0.000761032104492
20,0.00077486038208
20,0.000779151916504
20,0.000777006149292
21,0.000875234603882
21,0.000875949859619
21,0.000878095626831
21,0.000862121582031
21,0.000860929489136
21,0.000850915908813
21,0.000874042510986
21,0.000854015350342
21,0.000874996185303
21,0.000869035720825
22,0.000967025756836
22,0.000988006591797
22,0.000982999801636
22,0.000972986221313
22,0.000980138778687
22,0.000978946685791
22,0.000992059707642
22,0.00097918510437
22,0.000975131988525
22,0.000982999801636
23,0.00111389160156
23,0.0010929107666
23,0.00109791755676
23,0.00122714042664
23,0.00109195709229
23,0.00110101699829
23,0.00108695030212
23,0.0010941028595
23,0.00112009048462
23,0.00110006332397
24,0.00122284889221
24,0.00124502182007
24,0.00122499465942
24,0.00122117996216
24,0.00124287605286
24,0.00122809410095
24,0.00122308731079
24,0.00122904777527
24,0.00122094154358
24,0.001216173172
25,0.00136804580688
25,0.0013689994812
25,0.00136399269104
25,0.00136303901672
25,0.00135588645935
25,0.00138711929321
25,0.00135111808777
25,0.00137996673584
25,0.00135493278503
25,0.00136184692383
26,0.00151419639587
26,0.00151801109314
26,0.00150609016418
26,0.00152182579041
26,0.00151801109314
26,0.00151300430298
26,0.00150990486145
26,0.001540184021
26,0.00149893760681
26,0.00154399871826
27,0.00165796279907
27,0.00168895721436
27,0.00168991088867
27,0.00167393684387
27,0.0016450881958
27,0.00165915489197
27,0.00163698196411
27,0.00166201591492
27,0.00167012214661
27,0.00166893005371
28,0.00184798240662
28,0.00183010101318
28,0.00182580947876
28,0.00183796882629
28,0.00182509422302
28,0.00183701515198
28,0.00185012817383
28,0.00184392929077
28,0.0018150806427
28,0.00183582305908
29,0.00203418731689
29,0.00201106071472
29,0.00199890136719
29,0.00203895568848
29,0.00201392173767
29,0.00201106071472
29,0.00199508666992
29,0.00201797485352
29,0.00199604034424
29,0.00201416015625
30,0.00219392776489
30,0.0021870136261
30,0.00221085548401
30,0.00222206115723
30,0.00219511985779
30,0.00221490859985
30,0.00216817855835
30,0.0022189617157
30,0.00219082832336
30,0.00222206115723
31,0.00240588188171
31,0.00242304801941
31,0.00238800048828
31,0.00240898132324
31,0.00239992141724
31,0.00241088867188
31,0.00236201286316
31,0.00239896774292
31,0.00238013267517
31,0.00240993499756
32,0.00259208679199
32,0.00257682800293
32,0.00260615348816
32,0.0026228427887
32,0.0025908946991
32,0.00260782241821
32,0.00260710716248
32,0.00256085395813
32,0.00261402130127
32,0.00262904167175
33,0.00282216072083
33,0.0028350353241
33,0.00282192230225
33,0.00285506248474
33,0.00281500816345
33,0.00280618667603
33,0.00282788276672
33,0.00283694267273
33,0.00282907485962
33,0.00280594825745
34,0.00306010246277
34,0.00304508209229
34,0.00305199623108
34,0.00307989120483
34,0.00303506851196
34,0.00307106971741
34,0.00307106971741
34,0.00308704376221
34,0.00306701660156
34,0.00304818153381
35,0.00328516960144
35,0.00332808494568
35,0.00330781936646
35,0.00330400466919
35,0.00332498550415
35,0.00330209732056
35,0.003338098526
35,0.00332093238831
35,0.00331401824951
35,0.00328493118286
36,0.00359892845154
36,0.00356483459473
36,0.00362110137939
36,0.0035228729248
36,0.00353598594666
36,0.00354909896851
36,0.00357484817505
36,0.00352907180786
36,0.00356578826904
36,0.00359296798706
37,0.00379490852356
37,0.00380396842957
37,0.00388312339783
37,0.00379705429077
37,0.00384187698364
37,0.00383591651917
37,0.00384187698364
37,0.00382494926453
37,0.00382089614868
37,0.00383186340332
38,0.00412917137146
38,0.00422096252441
38,0.00409007072449
38,0.00408697128296
38,0.00413703918457
38,0.00404405593872
38,0.0041401386261
38,0.00406002998352
38,0.00410485267639
38,0.00415992736816
39,0.00445199012756
39,0.00444507598877
39,0.00450301170349
39,0.00441789627075
39,0.00441598892212
39,0.00441002845764
39,0.00444602966309
39,0.00440692901611
39,0.00444102287292
39,0.00439596176147
40,0.0047070980072
40,0.00472497940063
40,0.00471186637878
40,0.00470089912415
40,0.00477695465088
40,0.00466179847717
40,0.004714012146
40,0.00280904769897
40,0.00182509422302
40,0.00184798240662
41,0.00194692611694
41,0.00193786621094
41,0.00195097923279
41,0.00193905830383
41,0.00193095207214
41,0.0019428730011
41,0.00196194648743
41,0.00192785263062
41,0.00193786621094
41,0.00194382667542
42,0.00206899642944
42,0.00206995010376
42,0.0020649433136
42,0.00206589698792
42,0.00206398963928
42,0.0020809173584
42,0.00206613540649
42,0.00208592414856
42,0.00205492973328
42,0.00206899642944
43,0.00223302841187
43,0.00222086906433
43,0.00220799446106
43,0.00220584869385
43,0.00219893455505
43,0.00220799446106
43,0.00218605995178
43,0.0022120475769
43,0.00219893455505
43,0.00220012664795
44,0.00234603881836
44,0.00236010551453
44,0.00234198570251
44,0.00233697891235
44,0.0023410320282
44,0.002357006073
44,0.0023820400238
44,0.00236487388611
44,0.00235199928284
44,0.00236582756042
45,0.00249600410461
45,0.00253009796143
45,0.00250601768494
45,0.00251007080078
45,0.00250887870789
45,0.0025041103363
45,0.0024950504303
45,0.00249600410461
45,0.00249099731445
45,0.00249600410461
46,0.00265693664551
46,0.00268197059631
46,0.00267195701599
46,0.00261807441711
46,0.00265097618103
46,0.00265502929688
46,0.00266814231873
46,0.00264692306519
46,0.00262498855591
46,0.00265002250671
47,0.00279188156128
47,0.00279402732849
47,0.00282096862793
47,0.00282001495361
47,0.00282192230225
47,0.00279998779297
47,0.00279903411865
47,0.00285196304321
47,0.00281691551208
47,0.00281095504761
48,0.00296497344971
48,0.00298500061035
48,0.00296306610107
48,0.00297498703003
48,0.00298595428467
48,0.00298094749451
48,0.00301313400269
48,0.00303387641907
48,0.00294804573059
48,0.00297689437866
49,0.00317096710205
49,0.00317287445068
49,0.00313091278076
49,0.00316405296326
49,0.00314712524414
49,0.00316190719604
49,0.00315713882446
49,0.00316095352173
49,0.00317001342773
49,0.00313401222229
50,0.00332403182983
50,0.00331807136536
50,0.00333404541016
50,0.00336408615112
50,0.00331807136536
50,0.00332307815552
50,0.00332307815552
50,0.00339794158936
50,0.00334787368774
50,0.00334906578064
51,0.0034761428833
51,0.00352907180786
51,0.00348901748657
51,0.00350308418274
51,0.00355195999146
51,0.00351405143738
51,0.00352811813354
51,0.00352597236633
51,0.00352692604065
51,0.00351881980896
52,0.00371789932251
52,0.00370788574219
52,0.0036780834198
52,0.00368714332581
52,0.003741979599
52,0.00370287895203
52,0.00370502471924
52,0.00372910499573
52,0.00371694564819
52,0.00372505187988
53,0.00389695167542
53,0.00396490097046
53,0.00396299362183
53,0.00395584106445
53,0.00393509864807
53,0.00384902954102
53,0.00393390655518
53,0.00398588180542
53,0.00392293930054
53,0.00391411781311
54,0.00411105155945
54,0.0041401386261
54,0.00407814979553
54,0.00416707992554
54,0.0040819644928
54,0.00410985946655
54,0.0041241645813
54,0.00414299964905
54,0.00410985946655
54,0.0041708946228
